anio,departamento,credito_millones_soles
2016,Amazonas,410.278589
2016,Áncash,3261.697542
2016,Apurímac,736.885223
2016,Arequipa,9894.082857
2016,Ayacucho,1042.492731
2016,Cajamarca,2900.816748
2016,Callao,5669.982561
2016,Cusco,4525.242372
2016,Huancavelica,269.080572
2016,Huánuco,1394.38691
2016,Ica,3745.820654
2016,Junín,4503.042325
2016,La Libertad,7596.414376
2016,Lambayeque,5461.22015
2016,Lima,194079.813369
2016,Loreto,1875.623821
2016,Madre de Dios,487.310543
2016,Moquegua,866.989213
2016,Pasco,569.590698
2016,Piura,6405.836518
2016,Puno,2898.461549
2016,San Martín,2145.122106
2016,Tacna,1883.228056
2016,Tumbes,681.573741
2016,Ucayali,1414.081919
2017,Amazonas,499.394248
2017,Áncash,3388.221344
2017,Apurímac,862.462018
2017,Arequipa,10307.669994
2017,Ayacucho,1170.094423
2017,Cajamarca,3245.130118
2017,Callao,6157.854033
2017,Cusco,4952.708746
2017,Huancavelica,304.606652
2017,Huánuco,1497.385305
2017,Ica,4269.407217
2017,Junín,5004.063
2017,La Libertad,8037.177081
2017,Lambayeque,5824.940605
2017,Lima,201727.719941
2017,Loreto,1864.808391
2017,Madre de Dios,557.842802
2017,Moquegua,1137.754228
2017,Pasco,608.445599
2017,Piura,6941.405002
2017,Puno,3198.789378
2017,San Martín,2333.190824
2017,Tacna,2175.012257
2017,Tumbes,742.6059
2017,Ucayali,1475.490848
2018,Amazonas,572.466099
2018,Áncash,3582.231038
2018,Apurímac,974.977861
2018,Arequipa,11035.83089
2018,Ayacucho,1323.667197
2018,Cajamarca,3684.038887
2018,Callao,6522.058104
2018,Cusco,5271.373333
2018,Huancavelica,347.020786
2018,Huánuco,1782.780615
2018,Ica,4758.143078
2018,Junín,5466.142305
2018,La Libertad,8610.802956
2018,Lambayeque,6214.321106
2018,Lima,224918.952636
2018,Loreto,1969.94336
2018,Madre de Dios,646.066398
2018,Moquegua,1430.310294
2018,Pasco,679.65766
2018,Piura,7214.657044
2018,Puno,3520.297133
2018,San Martín,2560.862328
2018,Tacna,2445.08569
2018,Tumbes,794.073943
2018,Ucayali,1565.649332
2019,Amazonas,655.723462
2019,Áncash,3763.485464
2019,Apurímac,1101.33645
2019,Arequipa,11773.855399
2019,Ayacucho,1423.917803
2019,Cajamarca,4156.182561
2019,Callao,6248.737788
2019,Cusco,5650.653464
2019,Huancavelica,388.999588
2019,Huánuco,2138.338092
2019,Ica,4951.912576
2019,Junín,6014.066064
2019,La Libertad,9374.954763
2019,Lambayeque,6533.564046
2019,Lima,239356.93038
2019,Loreto,2021.922421
2019,Madre de Dios,702.287177
2019,Moquegua,1523.084305
2019,Pasco,770.429204
2019,Piura,7640.793812
2019,Puno,3832.742661
2019,San Martín,2646.06945
2019,Tacna,2610.37081
2019,Tumbes,837.47192
2019,Ucayali,1611.513835
2020,Amazonas,750.091406
2020,Áncash,4027.254351
2020,Apurímac,1292.186987
2020,Arequipa,13057.734888
2020,Ayacucho,1703.108776
2020,Cajamarca,4705.26948
2020,Callao,7850.429844
2020,Cusco,7050.742035
2020,Huancavelica,429.238998
2020,Huánuco,1949.874535
2020,Ica,5901.039055
2020,Junín,6797.851707
2020,La Libertad,10981.866699
2020,Lambayeque,7436.206859
2020,Lima,268952.533181
2020,Loreto,2052.008467
2020,Madre de Dios,786.447808
2020,Moquegua,1632.173178
2020,Pasco,831.749244
2020,Piura,8630.482998
2020,Puno,4550.612936
2020,San Martín,2882.510792
2020,Tacna,2943.424688
2020,Tumbes,867.586379
2020,Ucayali,1763.677871
2021,Amazonas,829.035456
2021,Áncash,4076.120994
2021,Apurímac,1420.514259
2021,Arequipa,13168.496047
2021,Ayacucho,1842.221417
2021,Cajamarca,4910.497914
2021,Callao,7262.163319
2021,Cusco,7213.954802
2021,Huancavelica,476.336122
2021,Huánuco,2046.620466
2021,Ica,6162.51921
2021,Junín,7001.991443
2021,La Libertad,11498.545262
2021,Lambayeque,7614.875829
2021,Lima,292059.768007
2021,Loreto,2140.976497
2021,Madre de Dios,846.261988
2021,Moquegua,1517.556732
2021,Pasco,890.054999
2021,Piura,8996.773157
2021,Puno,4654.539221
2021,San Martín,3015.080132
2021,Tacna,2961.849442
2021,Tumbes,885.15414
2021,Ucayali,1857.710317
2022,Amazonas,946.330457
2022,Áncash,4272.851256
2022,Apurímac,1530.031769
2022,Arequipa,13798.063402
2022,Ayacucho,1930.532128
2022,Cajamarca,5335.364991
2022,Callao,7182.971305
2022,Cusco,7365.918696
2022,Huancavelica,548.965357
2022,Huánuco,2241.672355
2022,Ica,6536.195822
2022,Junín,7732.548862
2022,La Libertad,12282.264096
2022,Lambayeque,7683.909242
2022,Lima,299131.751508
2022,Loreto,2272.700828
2022,Madre de Dios,953.632209
2022,Moquegua,1610.25769
2022,Pasco,943.722668
2022,Piura,9459.974881
2022,Puno,4990.091561
2022,San Martín,3254.531424
2022,Tacna,2904.763098
2022,Tumbes,925.691879
2022,Ucayali,2023.304485
2023,Amazonas,1043.378831
2023,Áncash,4450.718429
2023,Apurímac,1608.185555
2023,Arequipa,13594.553588
2023,Ayacucho,1998.266534
2023,Cajamarca,5743.286037
2023,Callao,6732.031429
2023,Cusco,7311.70019
2023,Huancavelica,633.440781
2023,Huánuco,2419.227813
2023,Ica,6551.952725
2023,Junín,8064.434528
2023,La Libertad,11945.15659
2023,Lambayeque,7564.945023
2023,Lima,296212.732613
2023,Loreto,2367.892893
2023,Madre de Dios,1050.787667
2023,Moquegua,1295.636749
2023,Pasco,1001.791543
2023,Piura,9129.857822
2023,Puno,4730.328966
2023,San Martín,3570.570131
2023,Tacna,2806.594875
2023,Tumbes,882.939759
2023,Ucayali,2062.898147
2024,Amazonas,1076.924018
2024,Áncash,4278.442011
2024,Apurímac,1695.056384
2024,Arequipa,14325.754818
2024,Ayacucho,2021.911029
2024,Cajamarca,5792.009229
2024,Callao,6288.528421
2024,Cusco,7251.209804
2024,Huancavelica,640.990861
2024,Huánuco,2533.184138
2024,Ica,6340.50016
2024,Junín,8192.904793
2024,La Libertad,12233.425698
2024,Lambayeque,7191.342688
2024,Lima,298472.255192
