departamento,macroregion,credito_2016,credito_2025,crecimiento_2016_2025
Amazonas,Norte,410.278589,1116.971346,172.24704772493013
Madre de Dios,Oriente,487.310543,1273.599431,161.35273477963725
Apurímac,Sur,736.885223,1867.261043,153.39917055169389
Huancavelica,Centro,269.080572,673.742677,150.38696476384774
Cajamarca,Norte,2900.816748,6036.89406,108.11014912135354
Ayacucho,Sur,1042.492731,2159.604131,107.1577159994605
Huánuco,Centro,1394.38691,2742.687555,96.69487251569223
Junín,Centro,4503.042325,8548.123825,89.82996845360543
Puno,Sur,2898.461549,5306.475128,83.07902445111925
San Martín,Oriente,2145.122106,3907.94779,82.17833749739934
Pasco,Centro,569.590698,1034.96194,81.70274613578748
Ica,Centro,3745.820654,6538.601872,74.55725930224955
Cusco,Sur,4525.242372,7821.427491,72.83996851517152
La Libertad,Norte,7596.414376,12461.625205,64.04614846145145
Lima,Centro,194079.813369,307745.192979,58.566307148023846
Arequipa,Sur,9894.082857,15532.730093,56.99009516592732
Moquegua,Sur,866.989213,1342.521196,54.84866199828949
Ucayali,Oriente,1414.081919,2097.931301,48.35995516324822
Tacna,Sur,1883.228056,2711.712788,43.992798926313355
Piura,Norte,6405.836518,9095.399773,41.98613635303514
Lambayeque,Norte,5461.22015,7713.060943,41.23329093407817
Loreto,Oriente,1875.623821,2548.451551,35.87221075286185
Áncash,Centro,3261.697542,4351.095852,33.39973421729368
Tumbes,Norte,681.573741,879.536567,29.044960815179046
Callao,Centro,5669.982561,6695.472423,18.086296579704776
